name,sku,barcode,category,price,cost,purchase_unit,selling_unit,description,for_sale,kitchen_required,active,featured,featured_tag,is_ingredient
Blueberry Frappe,,,Frappes,175,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Caramel Frappe,,,Frappes,175,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Caramel Toffee Frappe,,,Frappes,190,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Chocolate Chip Frappe,,,Frappes,175,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Cheesecake Frappe,,,Frappes,190,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Coffee Jelly Frappe,,,Frappes,180,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Cookies and Cream Frappe,,,Frappes,190,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Dark Mocha Frappe,,,Frappes,190,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Strawberry Frappe,,,Frappes,190,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
White Rabbit Frappe,,,Frappes,190,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Mango Graham Frappe,,,Frappes,190,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Java Chip Frappe,,,Frappes,190,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Roasted Almond Latte,,,Lattes,180,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Hazelnut Espresso Latte,,,Lattes,175,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
French Vanilla Espresso Latte,,,Lattes,175,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Sea Salt Caramel Latte,,,Signature Drinks,220,,pcs,cup,A smooth blend of rich espresso and creamy milk topped with light sea salt foam. Iced or Hot.,TRUE,FALSE,TRUE,TRUE,House Special,FALSE
Ginger Ale,,,Signature Drinks,160,,pcs,cup,Boiled ginger infused with natural sugar cane with a squeeze of fresh lemon.,TRUE,FALSE,TRUE,FALSE,,FALSE
Honey Lemon Cucumber,,,Signature Drinks,160,,pcs,cup,"A refreshing mix of cucumber, lemon, and honey served over ice.",TRUE,FALSE,TRUE,FALSE,,FALSE
Dalgona Coffee,,,Signature Drinks,170,,pcs,cup,A whipped coffee delight made with fluffy aerated coffee foam layered over cold or warm milk.,TRUE,FALSE,TRUE,FALSE,,FALSE
Caramel Macchiato,,,Signature Drinks,200,,pcs,cup,A delightful blend of smooth espresso and steamed milk infused with sweet caramel.,TRUE,FALSE,TRUE,FALSE,,FALSE
Dark Chocolate Milktea,,,Milktea,160,,pcs,cup,Recommended.,TRUE,FALSE,TRUE,FALSE,,FALSE
Black Forest Milktea,,,Milktea,155,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Wintermelon Milktea,,,Milktea,155,,pcs,cup,Must Try.,TRUE,FALSE,TRUE,FALSE,,FALSE
Taro Milktea,,,Milktea,155,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Okinawa Milktea,,,Milktea,155,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Hot Caramel Macchiato,,,Hot Drinks,145,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Hot Spanish Latte,,,Hot Drinks,125,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Hot French Vanilla,,,Hot Drinks,165,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Hot Chocolate,,,Hot Drinks,155,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Hot Matcha,,,Hot Drinks,165,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Oat Milk Add-on,,,Add-ons,45,,pcs,add-on,,TRUE,FALSE,TRUE,FALSE,,FALSE
Non Dairy Add-on,,,Add-ons,30,,pcs,add-on,,TRUE,FALSE,TRUE,FALSE,,FALSE
Soy Milk Add-on,,,Add-ons,30,,pcs,add-on,,TRUE,FALSE,TRUE,FALSE,,FALSE
Blueberry Soda,,,Fruity Soda,150,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Green Apple Soda,,,Fruity Soda,150,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Passion Fruit Soda,,,Fruity Soda,150,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Lychee Soda,,,Fruity Soda,150,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Lemon Soda,,,Fruity Soda,150,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Dirty Matcha,,,Matcha,190,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Strawberry Matcha Frappe,,,Matcha,190,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Matcha Milktea,,,Matcha,160,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Oreo Matcha Latte,,,Matcha,170,,pcs,cup,,TRUE,FALSE,TRUE,FALSE,,FALSE
Almuerzo Blend,,,City Blend,130,,pcs,cup,"A perfect blend of medium and dark roasted beans going off a jackfruit aroma — sweet and smooth, good for an after-meal cup.",TRUE,FALSE,TRUE,FALSE,,FALSE
Barako Blend,,,City Blend,120,,pcs,cup,"The famous Batangas pride — strong, bitter and full-bodied taste with highest caffeine content — best for morning starters.",TRUE,FALSE,TRUE,FALSE,,FALSE
Arabica Blend,,,City Blend,120,,pcs,cup,"Mountain Province's famous blend of Arabica and Robusta — smooth taste, sweet/winey aroma.",TRUE,FALSE,TRUE,FALSE,,FALSE
Benguet Blend,,,City Blend,120,,pcs,cup,Medium roasted with nutty/caramelly flavored notes but with full caffeine strength.,TRUE,FALSE,TRUE,FALSE,,FALSE
